name,placeRating,theme,address,latitude,longitude,webUrl,textRating,text,numberOfReviews,lang,id,website,city,imageUrl_x,description_x,text_sentiment,subtype
Beit Sharbatly,4,Historic Sites,"7370 Al-Matt'haf Ln, Al Balad District, Jeddah 3191 Saudi Arabia",21.48909808,39.18713086,https://www.tripadvisor.com/Attraction_Review-g295419-d20372092-Reviews-Beit_Sharbatly-Jeddah_Makkah_Province.html,4,This beautiful and typical house in the historical area of ​​Jeddah has been restored and is open to the public. In addition to the rooms there is an Islamic calligraphy exposure and on the terrace there is a coffee from which you can enjoy a beautiful view of the city.,1,it,20372092,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/21/c2/09/f6/caption.jpg,,positive,Historical Sites & Landmarks
Tuflah Well,5,Ancient Ruins,"7639 - 3039, Jeddah 25562 Saudi Arabia",21.485811,39.192505,https://www.tripadvisor.com/Attraction_Review-g295419-d23381357-Reviews-Tuflah_Well-Jeddah_Makkah_Province.html,5,"Bir El -Falafa in Afan
When the Prophet, may God’s prayers and peace be upon him, passed through this well during one of his trips, he ordered a bucket of water from the well, and they found bitterness and inappropriate for drinking. From that day, the water of that well became fresh and not cut off, so it is called a well.",2,ar,23381357,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/21/de/38/57/caption.jpg,,positive,Historical Sites & Landmarks
Jeddah Tec Diver,3.5,Boat Tours,Jeddah Saudi Arabia,21.752945,39.06326,https://www.tripadvisor.com/Attraction_Review-g295419-d13281808-Reviews-Jeddah_Tec_Diver-Jeddah_Makkah_Province.html,4,"A friend of mine dealt with them and praised their wonderful dealings and the presence of diving courses, an international accredited center that grants certificates for diving and professional training.",4,ar,13281808,http://jeddahtec.com,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/24/db/88/4e/jtd-logo.jpg,"Jeddah Tec Diver You first destination for scuba diving world !! TDI SDI 5 stars Dive center . We offer TDI technical diving courses and SDI recreational diving courses, shore guided dives and Boat trips .",negative,Tours & Adventures
Deira Tours,5,Multi-day Tours,"Tahlia street Kaaki building, Jeddah 23441 Saudi Arabia",21.54575658,39.13071555,https://www.tripadvisor.com/Attraction_Review-g295419-d24873741-Reviews-Deira_Tours-Jeddah_Makkah_Province.html,5,"We chose this agency by booking a 8 -day tour from home that included Riad, Hegra and Jedda everything went well. They are very serious and reliable not a wrong comma. I recommend them but if you go to Hegra also ask for a private tour.",1,it,24873741,https://www.deira.com.sa/,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/25/23/43/4f/caption.jpg,"Team of experts in the Saudi tourism industry 
 Inbound destination management company since 2013, licensed and accredited by the Saudi Ministry of Tourism

Our Services:
1- Dune Bashing Experience in Saudi Arabia
2- Discover Scuba Diving in the Red Sea
3- Boat trip from Jeddah
4- Luxury Transportation 20 Seater in Jeddah
5- City Tour in Jeddah - Riyadh
6- Beach Access in Jeddah
",positive,Tours & Adventures
TREVOPEDIA,4,Historical & Heritage Tours,"7716 King Fahd Rd, Al Baghdadiyah Ash Sharqiyah Suit E136, Jeddah 21432 Saudi Arabia",21.49852378,39.18947914,https://www.tripadvisor.com/Attraction_Review-g295419-d24940234-Reviews-TREVOPEDIA-Jeddah_Makkah_Province.html,5,"A truly exceptional hotel. I have traveled a lot, and I have never felt as relaxed as I did in this hotel. Everything is wonderful, from the view to the room service and the reception – truly top-notch. God willing, we'll be back there again. May God reward you with all the best.",19,en,24940234,http://www.trevopedia.com,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/25/7a/14/9b/caption.jpg,"Visiting Saudi Arabia to perform Umrah or thinking about holidays to take a break from this hustling world and find some peace in Saudi Arabia? Trevopedia Saudia is the leading private airport transfers and private tour provider.
Trevopedia will take care of your Bookings, Tours, Transfers, and Activities for a great travel experience. Book Now or Contact US for customized arrangments.
",positive,Historical Sites & Landmarks
Cyan Waterpark,4,Water Parks,"King Saud Street, Jeddah Saudi Arabia",21.810253,39.078735,https://www.tripadvisor.com/Attraction_Review-g295419-d25056247-Reviews-Cyan_Waterpark-Jeddah_Makkah_Province.html,4,"Good time and playing facilities for kids and even young adults
Kids enjoy playing in water so much
Safety is well watched and lifeguards are watching all games",3,en,25056247,https://www.cyanwp.com/,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/26/67/65/36/more-than-16-attractions.jpg,Enjoy your summer with Cyan waterpark. a place full of fun for all ages and genders. In house restaurants available,positive,Entertainment
My Saudi Tours,4.5,Multi-day Tours,"City Center Riyadh, Jeddah 12211 Saudi Arabia",21.53316719,39.25549013,https://www.tripadvisor.com/Attraction_Review-g295419-d25078214-Reviews-My_Saudi_Tours-Jeddah_Makkah_Province.html,5,"10/10 would recommend to all!! 

Easy to book and had a wonderful time with friends. Definitely will do this again.",13,en,25078214,https://mysauditours.com/tours/jeddah-tours,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/26/92/d0/1e/caption.jpg,"Saudi Arabia Tours, We Offer You a Range of Saudi Tours to Show You the Best of Saudi Arabia Unfolding the Essence of the Country. Whether You Are Travelling With Your Family, Friends, Significant Other or on a Business Trip Alone, We Have the Tour for You. From Adventure Tours, Historical Tours to Nature Explorations We Have a Range of Tour Categories to Deliver You the Experience You Are Seeking",positive,Tours & Adventures
Plaza Premium Lounge (International Departures),2.5,Airport Lounges,"Level 2, International Departures, Terminal 1 Near Gate 39, King Abdul Aziz International Airport, Jeddah Saudi Arabia",21.689692,39.142944,https://www.tripadvisor.com/Attraction_Review-g295419-d23854909-Reviews-Plaza_Premium_Lounge_International_Departures-Jeddah_Makkah_Province.html,3,"

I visited the Saudia Al Fursan Lounge a couple of months hence I have high expectations of other lounges in Terminal 1 of Jeddah International Airport. Unfortunately Plaza Premium Lounge fell flat in terms of meeting my expectations. 

It's just a small space to be shared with like 30 other passengers. Some of them were coughing continuously. There were only 1 toilet each for male and female and I heard murmurs that the female toilet wasn't working.

Food was not replenished fast enough. The only consolation was the cleaning crew were friendly and tried to best to cheer up the guests.",10,en,23854909,https://www.plazapremiumlounge.com/en-uk/find/india-middle-east-south-africa/saudi-arabia/jeddah/king-abdulaziz-international-airport/international-departures-terminal-one,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/26/e2/12/82/caption.jpg,"Located at Terminal 1 near Gate 39 of international departures of King Abdul Aziz International Airport, Plaza Premium Lounge offers an array of services and facilities including comfortable seating, local authentic and international cuisine freshly made in the kitchen, complimentary Wi-Fi and TV channels, inclusive of sports and news. The lounge also offers wide selection of tea, coffee and soft drinks, uniquely giving you that perfect place for both leisure and business travelers.",neutral,Food & Dining
seaskari,4,Scuba & Snorkeling,"Almurjan, Jeddah 23714 Saudi Arabia",21.68626172,39.09677736,https://www.tripadvisor.com/Attraction_Review-g295419-d25230400-Reviews-Seasafari-Jeddah_Makkah_Province.html,4,"One of the best boats in Jeddah Morsi Red Sea. There is a room and a water cycle in the boat, and it was a wonderful experience in this boat, and its founder specialized in cruises in the Red Sea, hunting, delivery, and deer.",1,ar,25230400,http://www.longbreath.net,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/27/9f/80/cd/caption.jpg,seasafari for cruises . fishing trips . dinner trips .occasions . birthday . and swimming . and fishing tools are available,positive,Tours & Adventures
Matbouli House Museum,5,Specialty Museums,"Al Balad, Jeddah 22236 Saudi Arabia",21.48132,39.19354,https://www.tripadvisor.com/Attraction_Review-g295419-d21513719-Reviews-Matbouli_House_Museum-Jeddah_Makkah_Province.html,5,"This museum is located in Jidd - the old part of the city of Al Blad. This is the house of a person who really lived here in the last century. Now the house is open to visiting. You will meet pleasant women who will offer you Arab white coffee. You can relax on soft sofas and admire beautiful patterns on the walls of the house. There are 3 floors in the house, you can climb and see how people lived here.",1,ru,21513719,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/27/d5/ba/ec/caption.jpg,,positive,Museums
"Historic Jeddah, the Gate to Makkah",5,City Tours,"Al Rayan District, Jeddah 21577 Saudi Arabia",21.45689,39.22115,https://www.tripadvisor.com/Attraction_Review-g295419-d17422024-Reviews-Historic_Jeddah_the_Gate_to_Makkah-Jeddah_Makkah_Province.html,5,"City of History and Best Cultural Area in Saudi Arabia, highly recommended to get A Day Tour of this Historical City ",1,en,17422024,https://www.naifazab.sa,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/27/fa/bb/65/caption.jpg,"From the 7th century AD, it was established as a major port for Indian Ocean trade routes, and also the gateway for Muslim pilgrims to Mecca. These twin roles saw the city develop into a thriving multicultural center, join me, and I will make you find out why it is one of the most beautiful and unforgettable cities in the world!!! ",positive,Tours & Adventures
Hafez Gallery,4.5,Art Galleries,"Bougainvillea Centre, King Abdulaziz Road, Jeddah Saudi Arabia",21.577162,39.12752,https://www.tripadvisor.com/Attraction_Review-g295419-d12267640-Reviews-Hafez_Gallery-Jeddah_Makkah_Province.html,4,"An excellent place to meet the two acres in many areas of folklore, local and international arts of all kinds and shapes",5,ar,12267640,http://www.facebook.com/hafezartgallery,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/56/73/90/caption.jpg,"Founded in 2014, 3rd floor at Bougainvillea in Jeddah. Hafez Gallery participates in engaging local, Middle Eastern and international artists to visually converse and explore Modern and Contemporary art. Hafez gallery serves as a space to nurture the discovery of a Saudi visual identity, and participate in the international art dialogue.",positive,Galleries
The Jeddah Sculpture Museum,3,Points of Interest & Landmarks,"Al Kurnaysh Br Rd Park Along The Jeddah Corniche, Jeddah Saudi Arabia",21.621635,39.107655,https://www.tripadvisor.com/Attraction_Review-g295419-d25333123-Reviews-The_Jeddah_Sculpture_Museum-Jeddah_Makkah_Province.html,3,"The famous sculptures have been removed from the park at the Corniche, only empty platforms are left. Other sculptures have been placed along the corniche, but they are not labeled and, except for one, are not the original ones from the park. However, we happened to find some of them (Calder, Miro, Moore, Vaserely) in a different park near the Old Jeddah Gate. 

This niew location is not mentioned in guidebooks or even the official tourism brochures issued by the city. The green park where they are now located is very well maintained, and the sculptures are well integrated into nature with a view of the bay of the sea. A much better location for sure!",1,en,25333123,http://www.sculpturesofjeddah.com/open-air-museum,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/5a/02/7e/corniche-sculptures.jpg,,positive,Points of Interest & Landmarks
SEASON TOURS Seasons for trips,5,Multi-day Tours,"King Abdulaziz st. AlMashaf Station, Jeddah 23421 Saudi Arabia",21.52008376,39.20242124,https://www.tripadvisor.com/Attraction_Review-g295419-d18895860-Reviews-Season_Tours-Jeddah_Makkah_Province.html,5,"Amazing trip with them , unseen locations , safety more than enough , mr.tariq was the guide and he has a huge information about the region , geographically, historically and sometimes legendary local stories , I’m belong originally to Jazan region but I  feel how much I’m foreign one , as a visitor for Jazan for first time ",1,en,18895860,https://sa-season.com/,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/d3/5f/2d/caption.jpg,,positive,Tours & Adventures
Traventure,5,Multi-day Tours,"Prince Saud Al Faisal, Jeddah Saudi Arabia Vibes Offices, 4th floor, 401, Jeddah 23431 Saudi Arabia",21.47709529,39.15059642,https://www.tripadvisor.com/Attraction_Review-g295419-d25550329-Reviews-Traventure-Jeddah_Makkah_Province.html,5,"True, we extended the tour and Ibrahim informed us and influenced us from the various sites with information the first time we hear, the way to explain it was clear and impressive, we will definitely repeat the experience",1,ar,25550329,http://traventure.sa,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/ee/5c/95/caption.jpg,"traventure is a tour operating company 
Our main office is in Jeddah, Kingdom of Saudi Arabia

Life is a big adventure!

We believe that life is a great adventure, and its biggest adventure begins from within, from knowing oneself. Therefore, at traventure, we strive to offer you trips and experiences that increase human richness, add to the personal experience, and change our view of the world.

",positive,Tours & Adventures
Ahmed,5,Historical & Heritage Tours,"Shabib Alasad Street, Jeddah 23452 Saudi Arabia",21.59192,39.1994,https://www.tripadvisor.com/Attraction_Review-g295419-d26370281-Reviews-Ahmed-Jeddah_Makkah_Province.html,5,"Ahmed has excellent knowledge on what he is doing as well as his sense of humour and personality.

I really enjoyed the trip with Ahmed",14,en,26370281,https://instagram.com/jeddah_tourguide?igshid=MzNlNGNkZWQ4Mg==,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/ce/1a/a2/caption.jpg," Hello, are you ready to discover Jeddah, then welcome onboard because your tour guide will take you around for unforgettable journey through the heart and soul of the Jeddah city! to see the old houses and experience our culture and tradition starting from historical jeddah then soug(old markets) and test the local food.
call me or whatsapp me through +966503000540",neutral,Historical Sites & Landmarks
Jeddah Desert Safari,3,Parasailing & Paragliding,"Mishrifah, Jeddah, Jeddah 23332 Saudi Arabia",21.53832404,39.18620804,https://www.tripadvisor.com/Attraction_Review-g295419-d26555130-Reviews-Jeddah_Desert_Safari-Jeddah_Makkah_Province.html,1,"Ditto what Nathalie G. said. This “tour” was not near what they claim in the description, we were excited about having this experience, and were merely escorted to some camels in the middle of the desert and rode the jeep in the sand dunes. Received and small bottle of juice and water when we stopped for gas. Tour guide barely spoke five words the whole time. That’s about it!",8,en,26555130,https://www.jeddahdesertsafari.com/,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/1d/fe/6f/caption.jpg,"Greetings to Jeddah Desert Safari! Your reliable and professional travel associate in Saudi Arabia.

Our Jeddah safari tours promise an unforgettable journey through the stunning golden deserts of Jeddah, where you can experience the true beauty of this land. Jeddah has something for everyone. Our professionally crafted tour packages assure to serve the venture you are seeking!",positive,Tours & Adventures
Nebras Tours,5,"4WD, ATV & Off-Road Tours","Prince Sultan St., Jeddah 23423 Saudi Arabia",21.56556832,39.18511845,https://www.tripadvisor.com/Attraction_Review-g295419-d27101746-Reviews-Nebras_Tours-Jeddah_Makkah_Province.html,5,"We decided to go to Saudi Arabia on vacation after reading about their burgeoning tourism industry and new openness to the world.  What a great decision!  The Kingdom has unmatched cultural heritage and world class cities, and the people of Saudi Arabia are warm and welcoming.  The good people at Nebras Tours were super easy to work with, and they took great care of us throughout our stay in Jeddah, Madinah, AlUla, and Riyadh.  Guides in all those places went above and beyond to show us the sites, tell us about themselves, and introduce us to Saudi food and culture.  We had particularly great experiences with Rola in Madinah and Islam in Riyadh, but everyone we met was happy to show us their wonderful country.  Highest possible recommendation!",1,en,27101746,http://nebrastours.com,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/16/64/ab/caption.jpg,"Nebras Tourisum is a travel agency that offers a wide range of travel services within Saudi Arabia.

 We offer Tour packages in the most attractive regions in Saudi Arabia. You will find the best deals for hotels, holiday packages, and other travel products at competitive prices, contact us now to start your journey. ",positive,Tours & Adventures
hesham,5,Bike Tours,"6801 Abi Al Karam an Najwa, Abhur Al Janubiyah, Jeddah 21435 Saudi Arabia",21.74471143,39.13260417,https://www.tripadvisor.com/Attraction_Review-g295419-d27413724-Reviews-Hesham-Jeddah_Makkah_Province.html,5,"The old city walking tour with Hesham is great. He is very informative and friendly, and took me into various museums and shops for drinks and snacks. ",1,en,27413724,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/75/16/3b/caption.jpg,"Flight attendant cabin crew.
Triathlon sports is my soul (Swim, cycle, run).
Inspector safety and quality.
International guide and reviewer on google.
Instagram: Housh2005",positive,Tours & Adventures
The Village - Jeddah,5,Shopping Malls,"Prince Talal Bin Mansour Road, Jeddah 23738 Saudi Arabia",21.774046,39.17033,https://www.tripadvisor.com/Attraction_Review-g295419-d27466929-Reviews-The_Village_Jeddah-Jeddah_Makkah_Province.html,5,"Coyce mall and there are most brands, but the positions are disappointed by distant and need to stop far away, but the mall is crowded most of the time, especially Wukend ,,,,",2,ar,27466929,https://www.facebook.com/TheVillageJED/,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/9a/1a/c1/caption.jpg,,neutral,Shopping
Al Fursan Business Class Lounge,4,Airport Lounges,"King Abdulaziz International Airport Second Floor, Jeddah Saudi Arabia",21.689692,39.142944,https://www.tripadvisor.com/Attraction_Review-g295419-d25294142-Reviews-Al_Fursan_Business_Class_Lounge-Jeddah_Makkah_Province.html,5,"As a family of four with a long layover, we didnt want to hang around at Jeddah airport and sit on the hard benches. 

It was quite difficult to find info about whether its possible to pay an entrance fee for the Al Fursan Lounge.

Well here it is. Usd100 per person if youre a economy passenger. 

Lots of good food and beverages. Great buffet, clean toilets, shower and very comfy reclining chairs to rest.",6,en,25294142,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/a6/40/65/caption.jpg,,positive,Food & Dining
Alrahma Floating Mosque Jeddah,5,Points of Interest & Landmarks,"J4X2+C9C, Ash Shati, Jeddah Saudi Arabia",21.648561,39.10089,https://www.tripadvisor.com/Attraction_Review-g295419-d27170829-Reviews-Alrahma_Floating_Mosque_Jeddah-Jeddah_Makkah_Province.html,5,"arrived just as the sun was setting and the call to prayer. Beautiful building and area around it to watch the sun set over the sea. 

that part of the Corniche has been developed to provide lots of snacks/drinks kiosks, and a massive seating area with pretty lights . very relaxing, friendly atmosphere, lots of families, groups of women, and lots children playing.",2,en,27170829,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/6f/e1/f6/caption.jpg,,positive,Points of Interest & Landmarks
Al Tayebat International City,4.5,Historical Sites,"3170 Raihanat Al Jazirah, Jeddah 23442 Saudi Arabia",21.58099,39.176857,https://www.tripadvisor.com/Attraction_Review-g295419-d4090222-Reviews-Al_Tayebat_International_City-Jeddah_Makkah_Province.html,3,"A beautiful place that highlights the ancient architectural style of Jeddah and the cities of Hijaz, and there are heritage activities that I could not visit, in which a mosque and a memorization house",73,ar,4090222,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/05/9d/5d/95/al-tayebat-international.jpg,,negative,Historical Sites & Landmarks
Al-Shallal Theme Park,4,Amusement & Theme Parks,"Al Kurnaysh Br Rd, Jeddah 23413 Saudi Arabia",21.568825,39.111423,https://www.tripadvisor.com/Attraction_Review-g295419-d5560551-Reviews-Al_Shallal_Theme_Park-Jeddah_Makkah_Province.html,1,"(Women's Day) A severe crowding at the gate to cut the tickets, although we booked electronic. The garden is very small and there are also many games. Also, a row of tickets is crowded and slow. The bathrooms are very few and not clean. It is supposed to open men's bathrooms for women's day .. There is a very good grill restaurant and workers have services. The space section takes a large area of ​​the garden. The ski hall is not clean and the snow is not equal to the skiing and we did not know that we needed to buy a ski ticket. People do not adhere to the row of skiing. Just half an hour skiing. Exaggerated physical exploitation. The garden does not deserve the amounts. Some of the images in Adviser Tribes are incorrect.",57,ar,5560551,http://www.alshallal.com.sa/,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/05/dd/68/d5/shallal-park.jpg,,positive,Entertainment
Khadija Baghlaf Mosque,5,Sacred & Religious Sites,Jeddah Saudi Arabia,21.51668514,39.22700863,https://www.tripadvisor.com/Attraction_Review-g295419-d8400952-Reviews-Khadija_Baghlaf_Mosque-Jeddah_Makkah_Province.html,5,"A newly built one of the big mosques in the area, neat clean and having prayer area for women as well.",30,en,8400952,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/08/3c/8a/f8/getlstd-property-photo.jpg,,positive,Religious Sites
Gallery One,4.5,Points of Interest & Landmarks,"Red Sea Mall Next to Virgin Mega Store in Red Sea Mall, Jeddah Saudi Arabia",21.62751022,39.11095021,https://www.tripadvisor.com/Attraction_Review-g295419-d7272118-Reviews-Gallery_One-Jeddah_Makkah_Province.html,5,"A place full of graphics and wonderful art, although many do not care about its presence in the mall, but it is 
A special store and offers a very beautiful art. I advise everyone to visit it",20,ar,7272118,http://g-1.com,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/08/42/e8/b4/destination-in-time-by.jpg,,positive,Points of Interest & Landmarks
haifaa Mall,4,Shopping Malls,"Madina Palestine Roads Intersection, Jeddah 126359 Jeddah 21352 Saudi Arabia",21.527262,39.177227,https://www.tripadvisor.com/Attraction_Review-g295419-d3653758-Reviews-Haifaa_Mall-Jeddah_Makkah_Province.html,4,"   Quite place where you can enjoy shopping and your children can find plenty of places for playing and spending a lovely leisure time. If you are planning to go, you should dedicate some time to visit Manuel supermarket where you can find all your grocery needs and a variety of household products. ",76,en,3653758,http://haifaamalljeddah.com,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/09/ae/f8/26/haifaa-mall.jpg,,positive,Shopping
Change Gallery,4.5,Points of Interest & Landmarks,"Tahlia Street, Jeddah 23441 Saudi Arabia",21.55881,39.18443,https://www.tripadvisor.com/Attraction_Review-g295419-d7186534-Reviews-Athr_Gallery-Jeddah_Makkah_Province.html,4,"A beautiful place to display pictures and arts and a place to hold a conference for photographic people and plastic artists, and a café area for the show and is arranged ....",19,ar,7186534,http://www.athrart.com/,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0a/a6/02/ea/athr-space-1.jpg,,positive,Points of Interest & Landmarks
Jeddah Lighthouse,4,Points of Interest & Landmarks,Jeddah Saudi Arabia,21.46862708,39.14961633,https://www.tripadvisor.com/Attraction_Review-g295419-d6700563-Reviews-Jeddah_Lighthouse-Jeddah_Makkah_Province.html,4,"   Jeddah Light is an active lighthouse in Jeddah, Saudi Arabia. With a height of approximately 133 m it has a credible claim to be the world's tallest lighthouse. It is located at the end of the outer pier on the north side of the entrance to Jeddah Seaport.Unlike conventional lighthouses, the Jeddah lighthouse acts as a control room for the city’s port and harbour.",38,en,6700563,http://mawani.gov.sa/ar-sa/SAPorts/jeddah/Pages/mainpage.aspx,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0b/3e/2b/cb/jeddah-lighthouse-height.jpg,,neutral,Points of Interest & Landmarks
Aziz Mall,4,Shopping Malls,"Prince Majid, Al Faisaliyah District, Jeddah 23447 Saudi Arabia",21.576305,39.1969,https://www.tripadvisor.com/Attraction_Review-g295419-d3653764-Reviews-Aziz_Mall-Jeddah_Makkah_Province.html,4,"A beautiful and large mall is considered good for families, and families can walk and shop and there are a number of good restaurants",70,ar,3653764,http://azizmalljeddah.com,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0b/99/ea/2a/caption.jpg,,positive,Shopping
Jeddah International Market,3.5,Gift & Specialty Shops,"Al Medina Road, Jeddah Saudi Arabia",21.560108,39.17108,https://www.tripadvisor.com/Attraction_Review-g295419-d6950393-Reviews-Jeddah_International_Market-Jeddah_Makkah_Province.html,3,"A very old well known shopping market in Jeddah with variety of shops mainly for men's clothing, ladies gold wear,watches,mobiles and leather bags as well as a supermarket in a very helpful and frendly atmosphere. Has a nice roof top car park and praying mosque",30,en,6950393,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0c/00/f5/7f/photo1jpg.jpg,,positive,Miscellaneous
Flamingo Mall,3.5,Shopping Malls,"4965 Prince Majid Road Al aziziyah, Jeddah 23338 Saudi Arabia",21.551895,39.202324,https://www.tripadvisor.com/Attraction_Review-g295419-d10757680-Reviews-Flamingo_Mall-Jeddah_Makkah_Province.html,4,"A beautiful central market is not large, but beautiful and salad with a Carrefour supermarket and many brands worth visiting",41,ar,10757680,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0c/e8/7f/6c/mall.jpg,,positive,Shopping
Gulf Divers Group,5,Scuba & Snorkeling,"Al Amir Fahd Street, Jeddah Saudi Arabia",21.51305,39.16419,https://www.tripadvisor.com/Attraction_Review-g295419-d7198123-Reviews-Gulf_Divers_Group-Jeddah_Makkah_Province.html,5,"Gud
Nice boating.
And wow experience.
Fishing diving snorlking. All in 8hrs along breakfast and lunch on board.",4,en,7198123,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0d/bd/06/41/me-and-my-uncle-with.jpg,,positive,Tours & Adventures
In10so,4,Game & Entertainment Centers,"Prince Mohammed Bin Abdulaziz St Serafi Mega Mall, Jeddah 21563 Saudi Arabia",21.56053,39.184643,https://www.tripadvisor.com/Attraction_Review-g295419-d2615561-Reviews-IN10SO-Jeddah_Makkah_Province.html,4,"A beautiful experience for racing and fun by playing cars with friends, which is one of the best destinations in the wonderful and developed city of Jeddah",39,ar,2615561,https://www.facebook.com/p/IN10SO-100080951904389/,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0e/88/60/a7/in10so-racetrack.jpg,IN10SO is a Facility that provides a Platform for youth to show their abilities. And takes group events to a new level Founded by International Rally star Abdullah Bakhashab IN10SO Activities: - Kart Racing - Laser Tag - Bowling - Archery - Wall Climbing - Billiards & Video Games - Coffee Shop & Restaurant,positive,Entertainment
Heraa International Mall,3.5,Shopping Malls,"Hira street / Al-Madinah Al-Munawarah Rd, Jeddah 23526 Saudi Arabia",21.615662,39.15304,https://www.tripadvisor.com/Attraction_Review-g295419-d9997459-Reviews-Heraa_International_Mall-Jeddah_Makkah_Province.html,4," Strategic location, easy to access and it has a wide range of services and family friendly. You will find inside offices to all the communication (phone) companies in Saudi and also an office of the Saudi airlines. In addition to grosery store and famous brands.Outside the Mall there are a lot of restaurants with all kinds of foods (Arabian, turkish, italian, asian,.. ) ",33,en,9997459,http://www.skabcompanies.com/skab/companies/heraainternationalmall,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0e/95/70/bc/caption.jpg,,positive,Shopping
Exit the Room,5,Game & Entertainment Centers,Jeddah Saudi Arabia,21.58248178,39.12909377,https://www.tripadvisor.com/Attraction_Review-g295419-d12198659-Reviews-Exit_the_Room-Jeddah_Makkah_Province.html,5,"Best escape room I've been in.  We chose Mind-boggling.  The room had a lot of tricks.  We used all the life lines and managed to escape in the last minutes.  Fun and challenging, yet doable.  Price is lower than others.  Highly recommended.  Will definitely return for the other rooms. 
Cleaning has to improve.  The room is a bit dusty.",4,en,12198659,http://www.exittheroomsa.com,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0e/9b/65/64/from-inside-mall.jpg,An escape room or escape game is a unique experience for small teams. You have 60 minutes to solve a series of logic puzzles to complete your mission or to be able to exit the room. Our game masters provide you with a special story and a mission that creates a truly immersive experience and they also provide you with hints during the game if you run out of ideas,positive,Entertainment
The Secret Room,5,Room Escape Games,"4TH Floor, Al Yamamah Business Center Yamama Street As Salamah, Jeddah 28657 Saudi Arabia",21.59028,39.14673,https://www.tripadvisor.com/Attraction_Review-g295419-d10832641-Reviews-The_Secret_Room-Jeddah_Makkah_Province.html,4,"But i had a lot of fun !! , one of many secret room i played around the world its not so bad !! Great job  ",8,en,10832641,http://www.thesecretroomsa.com/en,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0e/fb/59/d6/photo0jpg.jpg,"The Secret Room is KSA First Live Escape Game and is present across the country in Medina, Jeddah, Khobar, Dammam and Riyadh.",positive,Entertainment
Makkah Gate,4,Points of Interest & Landmarks,Jeddah Saudi Arabia,21.485043,39.192863,https://www.tripadvisor.com/Attraction_Review-g295419-d319518-Reviews-Makkah_Gate-Jeddah_Makkah_Province.html,4,"   The Gate of Makkah‎ (Bawwabat Makka), also known as Quran Gate (Bawwabat al-Quran), is an arch gateway monumental on the Makkah al-Mukkarramah road of the Jeddah–Makkah Highway. It is the entrance to Mecca and the birthplace of prophet Muhammad .The Gateway is built in 1979 as an arch over road. The main part is structure of the Islam's Holy Book – Quran, sitting on a rehal (book stand). Whole structure is decorated with various patterns and can get illuminated at night in many different ways.
",87,en,319518,,Jeddah,https://media-cdn.tripadvisor.com/media/photo-o/0f/38/bc/b3/starting-of-haram.jpg,This imposing gate is the only remnant of the huge wall that used to surround Jiddah.,positive,Points of Interest & Landmarks
